Task,Delegation,Done,Due Date,Owner,Recurring?,Related to Projects Database
"[DMS] AI Proposal - Review and edit report   ",,Yes,09/11/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
[ECL] Essential,,Yes,09/07/2025 9:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,09/10/2025 9:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
Review IDM1 EMMA IoT data from FineBI dashboard - view content,,Yes,09/11/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
Research: How to write investment transaction records,,Yes,09/21/2025 9:00 (GMT+8),Keith LI,No,
檢查稼動率總表資料有哪些設備已經接收稼動率 (EMMA ETL 同步完成之後),,Yes,10/09/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
資產選類別自動分配 Tag,,Yes,10/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
AI Proposal - 大綜跟碩網規格 去找 Server 價格,,Yes,09/15/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
"[DMS] 簡道雲 Sync 零件倉庫 ",,No,11/10/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
IDM3 GBOS API 傳輸問題,,Yes,09/15/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[ECL] Essential,,Yes,09/21/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,09/18/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,09/17/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,09/19/2025 9:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
Microservice Homework,,Yes,09/21/2025,Keith LI,No,Microservice (https://www.notion.so/Microservice-26e406f97007807b8944ed876f8145bd?pvs=21)
[DMS] 靜宜校友會 - 內文連結,,Yes,10/03/2025 16:30 (GMT+8) → 17:30,Keith LI,No,
IoT 警示 - 共幾台可以上，有幾台沒動 (晨報),[DMS] 念慈 (Daisy),Yes,10/02/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
IDM3 VPN 網路傳輸問題,,Yes,09/17/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
Azure 發票 - 改完公司表頭的,,Yes,09/17/2025,Keith LI,No,
調整嘉印沒辦法儲存 CSW6 工廠欄位原因,,Yes,09/18/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
新增資產系統導出頁面創建日期搜尋欄位,,Yes,10/31/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
研究放貸機器人撰寫可能性,,Yes,09/21/2025,Keith LI,No,
Microservice Homework,,Yes,09/21/2025,Keith LI,No,Microservice (https://www.notion.so/Microservice-26e406f97007807b8944ed876f8145bd?pvs=21)
"嘉印 - 接收的 API 站存 IoT 資料要可以設備 AssetCode ",,Yes,09/23/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
公益拍賣活動 - 活動資訊見內文 PDF 檔案,,No,12/06/2025,Keith LI,No,
CSW6 冷热定型机,,Yes,10/14/2025 10:00 (GMT+8),Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[ECL] Essential,,Yes,09/30/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,09/22/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,09/28/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,09/24/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
GitLab 在 Ubuntu Server 附載太重的問題 → 新裝 Server 之後搬移,,No,11/05/2025,Keith LI,No,
進豐切割機 - 將 Aggregate API 整理好,,Yes,09/22/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"下採購單時的表頭公司添加 CDT  曾明明 - Content ",,Yes,09/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
廖顧問作業,,Yes,10/15/2025,Keith LI,No,
GBOS Forward 新增 API 重發機制,,Yes,11/04/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FineBI Competition communication,,Yes,10/25/2025 9:00 (GMT+8),Keith LI,No,
AI Agent 報告前一天發信 PPT update,,Yes,09/25/2025 15:30 (GMT+8),Keith LI,No,
GBOS Forward - CYW 廠假日/連假關機 - 導致隔天沒辦法接收資訊,,Yes,10/08/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
AI Agent 提案會議,,Yes,09/26/2025 15:00 (GMT+8),Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
稼動率 - 無運做設備統計 (可加上狀態標示),,No,11/10/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FineBI 憑證問題 - 官方問題,,Yes,09/30/2025 10:00 (GMT+8),Keith LI,No,
[DMS] 新人履歷,,Yes,09/30/2025,Keith LI,No,
Cursor - 79.9 Points,,Yes,09/28/2025,Keith LI,No,Spaceship Titanic (Kaggle competition) (https://www.notion.so/Spaceship-Titanic-Kaggle-competition-262406f97007804abd4dfc0a576b42e2?pvs=21)
[ECL] Essential,,Yes,10/05/2025 9:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,10/01/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,10/03/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
評估新 Linux Server 費用,,Yes,10/01/2025,Keith LI,No,
IDM3普羅裁斷：開個會發會議紀錄要確認 IoT 可以接，因為之前氣壓發生過類似事情。,,Yes,10/08/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[DMS] 新人履歷 - 采俐姐過省後發信,,Yes,10/08/2025,Keith LI,No,
EMMA DB降到至少 1GB 後將規格調整回 5 DTU,,Yes,10/13/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
EMMA Apache NiFi Sync,,Yes,10/13/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
檢查稼動率總表資料有哪些設備已經接收稼動率 (EMMA ETL 同步完成之後),,Yes,10/14/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
Microservice 架構 - Domain 邏輯,,Yes,10/13/2025,Keith LI,No,Microservice (https://www.notion.so/Microservice-26e406f97007807b8944ed876f8145bd?pvs=21)
廖顧問功課 - 建資料庫還有列表格,,Yes,10/13/2025,Keith LI,No,
廖顧問功課 - 新增 EXCEL 匯入功能,,Yes,10/14/2025,Keith LI,No,
Microservice Q&A - Contect,,Yes,10/14/2025 14:00 (GMT+8),Keith LI,No,Microservice (https://www.notion.so/Microservice-26e406f97007807b8944ed876f8145bd?pvs=21)
[ECL] Essential,,Yes,10/14/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,10/16/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,10/15/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,10/17/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
確認網頁開發語言 → Next Step (Python Backend),,Yes,10/13/2025,Keith LI,No,Trading Robots (MVP for Bitfinex) (https://www.notion.so/Trading-Robots-MVP-for-Bitfinex-27e406f970078081a7e8fa39ea04327e?pvs=21)
進豐切割機假日突然暴漲運行時間問題 - Content,,Yes,10/23/2025,Keith LI,No,
"將 AvailabilityIntegration 做更改 - content  ",,Yes,10/13/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
檢查 EMMA Table 遞增的 Sequence 有沒有跑起來 - 11005 開始,,Yes,10/14/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
AI Agent 討論會議,,Yes,10/15/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
FAS 新增申請單金額修改權限,,Yes,10/23/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
CYW GBOS 更新,,Yes,10/20/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
IDM3 - FAS 教學規劃,,Yes,10/23/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
幫姐帶褲子,,Yes,10/19/2025 9:00 (GMT+8),Keith LI,No,
Flowise - from SQLite to PostgreSQL,,Yes,10/20/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
"測試 Flowise SQL Agent ",,Yes,10/21/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
測試直接塞 RAG,,Yes,10/21/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
IDM3 FAS System Meeting,,Yes,10/27/2025 9:30 (GMT+8),Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
測試,,Yes,10/25/2025,Keith LI,No,Trading Robots (MVP for Bitfinex) (https://www.notion.so/Trading-Robots-MVP-for-Bitfinex-27e406f970078081a7e8fa39ea04327e?pvs=21)
"IDM3 GBOS 0000019833 查不到資料 ",,Yes,10/28/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
校友會,,No,11/06/2025 14:30 (GMT+8) → 15:30,Keith LI,No,
[DMS] AI Agent一頁式報告 - renew,,Yes,10/30/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
把 EMMA IoT 8 個 Table 同步過去,,Yes,10/31/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"簡道雲 同步 Microservice ",[DMS] 念慈 (Daisy),No,10/28/2025 9:00 (GMT+8) → 11/07/2025 9:00 (GMT+8),Keith LI,No,
FAS IDM1 使用者反應 - 看內容,,No,11/07/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS - IDM3 回饋建議,,No,11/07/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
KDM EMMA 稼動率異常 - 放假結束,,No,11/07/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FAS 零件找 ERP 料號,,No,11/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS 申請單轉移到系統,,No,11/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
